Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-01.13696  3360.07904   60.176572 -140.428030   -0.866    0.081  1
RGI60-01.13635  3023.12115   60.460680 -142.071557   -1.005    0.098  1
RGI60-01.14443  2832.72624   60.427091 -139.500509    0.084    0.053  1
RGI60-01.17566  1176.32235   60.729682 -140.702891   -0.498    0.072  1
RGI60-01.16201  1053.15908   60.666091 -139.114221   -0.345    0.069  1
RGI60-01.15769  1028.34884   61.883063 -143.295148   -0.487    0.078  1
RGI60-01.14683  1018.33101   60.329473 -141.716390   -0.147    0.081  1
RGI60-01.17183   957.85607   61.392447 -141.090925   -0.192    0.076  1
RGI60-01.17614   924.60723   61.115604 -140.845329   -0.218    0.070  1
RGI60-01.23649   831.60565   60.102476 -140.884336   -1.131    0.104  1
RGI60-01.10689   773.25626   61.298662 -146.888005   -3.250    0.254  1
RGI60-01.14883   743.35356   60.497106 -143.512826   -1.197    0.124  1
RGI60-01.26738   717.86515   60.919568 -140.424579   -0.549    0.079  1
RGI60-01.04375   612.49220   57.733296 -132.728480   -1.545    0.140  1
RGI60-01.16121   592.03929   59.902369 -138.469249   -1.731    0.160  1
RGI60-01.16545   582.60771   60.283115 -138.645441   -0.934    0.105  1
RGI60-01.20796   548.99920   58.566949 -136.825229   -1.718    0.154  1
RGI60-01.27108   534.03085   60.366280 -143.388854   -1.184    0.128  1
RGI60-01.03377   523.63989   57.446786 -132.574571   -1.552    0.136  1
RGI60-01.01390   521.00206   58.651449 -134.278493   -0.480    0.086  1
RGI60-01.13538   514.44556   60.614676 -142.174195   -1.161    0.130  1
RGI60-01.17423   511.95680   61.244709 -141.471505   -0.398    0.089  1
RGI60-01.23641   488.10547   60.663113 -142.923496   -0.986    0.119  1
RGI60-01.22193   479.23306   62.832546 -151.228788   -0.802    0.093  1
RGI60-01.01524   461.01794   59.230767 -134.772479   -1.346    0.140  1
RGI60-01.21014   457.28158   59.173949 -136.745319   -0.913    0.111  1
RGI60-01.10575   449.21865   61.401332 -147.488348    0.043    0.053  1
RGI60-01.03622   448.08888   56.979801 -132.273019   -1.037    0.096  1
RGI60-01.16342   447.68302   60.979324 -139.824298   -0.219    0.075  1
RGI60-01.23653   445.00078   60.023107 -140.111912   -0.756    0.097  1
RGI60-01.16122   440.76563   60.124898 -138.554186   -0.925    0.111  1
RGI60-01.10196   426.97913   61.338494 -148.139017   -0.597    0.071  1
RGI60-01.13531   420.92835   60.631110 -144.147195   -1.660    0.157  1
RGI60-01.22171   405.99010   63.094982 -150.293171   -0.657    0.078  1
RGI60-01.09639   377.01964   60.272461 -148.615421   -0.603    0.083  1
