Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-18.02342    95.14912  -43.565302  170.238361   -1.069    0.130  1
RGI60-18.02375    34.69076  -43.531200  170.155954   -0.684    0.111  1
RGI60-18.02397    33.08326  -43.493286  170.219789   -0.484    0.100  1
RGI60-18.02504    31.40982  -43.537978  170.379856   -1.442    0.189  1
RGI60-18.00947    22.81925  -44.358025  168.764064   -1.629    0.188  1
RGI60-18.00948    15.49709  -44.393942  168.713044   -0.641    0.121  1
RGI60-18.02436    14.37284  -43.618257  170.118489   -1.019    0.163  1
RGI60-18.01959    13.89845  -43.716907  170.038193   -1.095    0.167  1
RGI60-18.02508    13.74779  -43.433550  170.559530   -1.493    0.217  1
RGI60-18.03217    11.66852  -43.313657  170.696810   -0.698    0.143  1
RGI60-18.03156    11.58600  -43.237261  170.912860   -0.829    0.165  1
RGI60-18.00853    10.96294  -44.474284  168.363186   -0.789    0.144  1
RGI60-18.00854    10.68975  -44.433919  168.372715   -0.749    0.139  1
RGI60-18.02450    10.48026  -43.487865  170.291914   -0.439    0.142  1
RGI60-18.03066    10.34941  -43.295889  170.842772   -0.704    0.160  1
RGI60-18.02499    10.32864  -43.446818  170.491503   -0.562    0.137  1
RGI60-18.03117    10.12441  -43.300023  170.761495   -0.729    0.141  1
RGI60-18.02502     9.72869  -43.577374  170.099070   -0.576    0.142  1
RGI60-18.00686     9.65734  -44.454523  168.608569   -0.715    0.140  1
RGI60-18.01852     9.64044  -43.686714  170.008818   -0.420    0.125  1
RGI60-18.02505     8.90655  -43.485435  170.434476   -1.128    0.197  1
RGI60-18.02472     7.55878  -43.486153  170.362482   -0.703    0.177  1
RGI60-18.02230     7.23097  -43.556286  170.115355   -0.715    0.170  1
RGI60-18.00661     7.02756  -44.463022  168.556218   -0.991    0.158  1
RGI60-18.02210     6.15270  -43.453107  170.326647   -0.701    0.158  1
RGI60-18.01903     5.70653  -43.668228  169.954068   -0.532    0.133  1
RGI60-18.00707     5.19167  -44.439284  168.577645   -1.085    0.171  1
RGI60-18.01699     4.70100  -43.749040  169.842055   -0.462    0.186  1
RGI60-18.02270     4.58670  -43.501332  170.165397   -0.715    0.163  1
RGI60-18.03181     4.27590  -43.323477  170.733530   -0.596    0.155  1
RGI60-18.01958     4.21821  -43.802574  169.950772   -0.646    0.160  1
RGI60-18.00716     4.05391  -44.468943  168.482242   -0.558    0.147  1
RGI60-18.00996     4.02544  -44.328118  168.819474   -0.331    0.193  1
RGI60-18.02276     3.83332  -43.590226  170.292480   -0.280    0.156  1
RGI60-18.03167     3.81004  -43.307495  170.636737   -0.510    0.158  1
RGI60-18.03191     3.69188  -43.200203  170.918024   -0.796    0.196  1
RGI60-18.03209     3.52521  -43.193200  170.939602   -0.501    0.165  1
RGI60-18.02489     3.42141  -43.562034  170.326663   -0.036    0.162  1
RGI60-18.03474     3.33488  -43.467220  170.222046   -0.574    0.144  1
RGI60-18.00796     3.33040  -44.403181  168.366355   -0.598    0.179  1
RGI60-18.00891     3.31529  -44.384248  168.590240   -0.476    0.144  1
RGI60-18.00724     3.20883  -44.455590  168.515448   -0.595    0.171  1
RGI60-18.02298     3.19401  -43.400889  170.520946   -0.606    0.167  1
RGI60-18.01007     3.17362  -44.438559  168.731410   -0.368    0.162  1
RGI60-18.01019     3.08337  -44.436247  168.750607   -0.413    0.153  1
RGI60-18.01578     3.05434  -43.793917  169.787442   -0.389    0.187  1
RGI60-18.03419     3.03723  -43.299325  170.656286   -0.641    0.158  1
RGI60-18.00533     2.89020  -44.631318  168.402240   -0.310    0.152  1
RGI60-18.00815     2.83383  -44.501634  168.358481   -1.072    0.224  1
RGI60-18.00171     2.79197  -44.593594  168.038583   -1.041    0.176  1
RGI60-18.01596     2.71425  -43.803162  169.732373   -0.366    0.142  1
RGI60-18.01130     2.67187  -44.071487  169.436837   -0.714    0.168  1
RGI60-18.02507     2.66176  -43.484082  170.161786   -0.540    0.142  1
RGI60-18.03078     2.64918  -43.334959  170.706092   -0.357    0.148  1
RGI60-18.00922     2.61030  -44.564686  168.436472   -0.358    0.144  1
RGI60-18.00728     2.58311  -44.449846  168.544465   -0.505    0.146  1
RGI60-18.00569     2.56039  -44.589230  168.234550   -0.675    0.159  1
RGI60-18.03076     2.54265  -43.224287  170.894281   -0.469    0.161  1
RGI60-18.02257     2.54031  -43.616635  170.068376   -0.689    0.184  1
RGI60-18.01307     2.47865  -44.221724  168.868337   -0.091    0.195  1
RGI60-18.00631     2.47195  -44.537608  168.623928   -0.326    0.144  1
RGI60-18.00842     2.45673  -44.424690  168.353649   -0.672    0.166  1
RGI60-18.01018     2.36104  -44.396319  168.768298   -0.298    0.165  1
RGI60-18.01013     2.35894  -44.462480  168.717752   -0.262    0.181  1
RGI60-18.01889     2.31505  -43.730843  169.988494   -0.747    0.197  1
RGI60-18.00718     2.31183  -44.486838  168.487221   -0.416    0.199  1
RGI60-18.00981     2.26793  -44.383712  168.769625   -0.330    0.152  1
RGI60-18.02207     2.22227  -43.465860  170.313429   -0.150    0.219  1
RGI60-18.00179     2.19068  -44.605754  168.019532   -0.090    0.170  1
RGI60-18.01951     2.12355  -43.680184  169.976755   -0.318    0.137  1
RGI60-18.01770     2.04951  -43.755978  170.041438   -0.628    0.154  1
RGI60-18.00727     1.98455  -44.477418  168.467617   -0.512    0.171  1
RGI60-18.00178     1.97085  -44.581874  168.025382   -0.262    0.149  1
RGI60-18.03218     1.94395  -43.327029  170.681415   -0.522    0.159  1
RGI60-18.03246     1.93022  -43.342954  171.006783   -0.742    0.250  1
RGI60-18.01609     1.92993  -43.812728  169.745771   -0.353    0.149  1
RGI60-18.02318     1.92419  -43.404734  170.352242   -0.509    0.176  1
RGI60-18.03085     1.91602  -43.351915  170.687824   -0.385    0.167  1
RGI60-18.01604     1.89142  -43.807236  169.761657   -0.322    0.181  1
RGI60-18.00164     1.88983  -44.565413  168.005817   -0.399    0.219  1
RGI60-18.03074     1.88908  -43.180205  170.909197   -0.459    0.194  1
RGI60-18.02361     1.85707  -43.474112  170.578559   -0.450    0.164  1
RGI60-18.01260     1.84670  -44.235374  168.856733   -0.776    0.173  1
RGI60-18.02322     1.78931  -43.433429  170.627838   -0.713    0.198  1
RGI60-18.03082     1.78536  -43.307874  170.789071   -0.657    0.186  1
RGI60-18.01043     1.75644  -44.309779  168.741943   -0.439    0.257  1
