Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-07.00027  1317.49285   79.579186   24.620051   -1.331    0.116  1
RGI60-07.00025  1095.04979   79.401386   23.512138   -0.218    0.058  1
RGI60-07.01506   963.15939   78.679793   18.473501   -0.196    0.057  1
RGI60-07.01559   875.96952   78.925452   18.348951    0.080    0.062  1
RGI60-07.00062   692.12454   80.013157   26.018186    0.204    0.074  1
RGI60-07.00029   662.37162   79.741809   25.601000   -0.071    0.082  1
RGI60-07.01394   645.28790   80.184334   32.470621   -0.712    0.076  1
RGI60-07.00681   640.53850   79.687482   22.842309    0.200    0.074  1
RGI60-07.01560   594.41717   78.864012   19.824351   -0.056    0.069  1
RGI60-07.01554   581.35717   77.810795   23.718443   -0.718    0.090  1
RGI60-07.00425   472.14193   80.037615   24.731568    0.255    0.077  1
RGI60-07.01494   394.03346   79.355254   12.655243   -0.384    0.081  1
RGI60-07.01482   378.47868   79.050186   12.971400   -0.579    0.083  1
RGI60-07.00551   356.17727   79.997993   24.126940    0.441    0.084  1
RGI60-07.01510   333.09872   79.858871   19.714616   -0.311    0.087  1
RGI60-07.01449   330.87823   80.058242   20.238377   -0.126    0.083  1
RGI60-07.01564   330.76146   79.056052   18.236653    0.107    0.075  1
RGI60-07.00552   329.99979   79.964673   23.576680    0.390    0.084  1
RGI60-07.01487   326.25662   78.855917   16.996062   -0.336    0.083  1
RGI60-07.01500   318.59368   79.182997   17.878792    0.113    0.065  1
RGI60-07.00873   317.34931   79.200619   17.171413   -0.076    0.063  1
RGI60-07.00301   312.28345   77.285702   14.994920   -0.495    0.080  1
RGI60-07.01464   295.28209   78.991582   13.384514   -0.414    0.071  1
RGI60-07.00728   291.20676   79.519710   22.280029    0.108    0.082  1
RGI60-07.00854   288.33196   79.735105   17.542994   -0.034    0.090  1
RGI60-07.01474   252.56880   77.570438   16.796513   -0.232    0.086  1
RGI60-07.00028   248.93901   79.607258   25.275187   -0.689    0.108  1
RGI60-07.00661   247.48171   79.412862   11.717558   -1.148    0.118  1
RGI60-07.00608   242.49237   79.806815   22.974749    0.231    0.088  1
RGI60-07.00424   241.19169   80.030213   25.167131    0.392    0.087  1
RGI60-07.00035   224.55895   80.037117   21.341813   -0.093    0.087  1
RGI60-07.00892   222.43423   78.745302   20.106368   -0.344    0.076  1
RGI60-07.00322   218.92743   77.323522   16.594985   -1.175    0.122  1
RGI60-07.00031   218.41807   79.872236   26.607354   -0.297    0.093  1
RGI60-07.00238   206.37575   77.164367   16.280878   -0.314    0.084  1
RGI60-07.00570   206.16331   78.702317   17.291631   -0.128    0.086  1
RGI60-07.01488   200.67628   79.882515   20.364591   -0.280    0.090  1
RGI60-07.00727   190.66193   79.562632   21.430375   -0.005    0.089  1
RGI60-07.01546   186.83515   77.603966   23.305311   -0.382    0.098  1
RGI60-07.00861   184.62687   79.721964   16.861483    0.135    0.091  1
RGI60-07.00871   182.86161   79.432335   16.949227   -0.087    0.072  1
RGI60-07.01499   179.31790   79.893951   20.876647   -0.226    0.082  1
RGI60-07.00030   175.86431   79.807213   26.348217   -0.320    0.101  1
RGI60-07.00324   173.27705   77.140622   16.788663   -0.649    0.085  1
RGI60-07.01454   168.07369   78.449336   17.819818   -0.220    0.078  1
RGI60-07.00474   165.03237   78.651099   13.820239   -0.643    0.088  1
RGI60-07.01458   163.31454   78.567156   17.610906   -0.393    0.085  1
RGI60-07.00026   162.36940   79.363135   24.456035   -0.983    0.106  1
RGI60-07.00041   158.86831   80.119949   20.986520    0.001    0.088  1
RGI60-07.00891   156.14370   78.682729   19.496200   -0.319    0.076  1
RGI60-07.00302   144.14462   78.420156   13.276492   -0.567    0.097  1
RGI60-07.00237   142.60426   77.317560   16.116506   -0.686    0.101  1
RGI60-07.00242   140.98764   77.211211   15.389386   -0.871    0.103  1
RGI60-07.01472   136.80587   77.435335   16.876230    0.052    0.095  1
RGI60-07.00299   136.75270   76.775438   16.774868   -0.530    0.077  1
RGI60-07.00228   136.30910   77.401310   15.001477   -0.353    0.081  1
RGI60-07.00533   134.53984   78.978655   14.151831   -0.377    0.076  1
RGI60-07.00529   132.63846   78.748092   13.891072   -0.439    0.079  1
RGI60-07.00682   129.04032   79.629853   21.854928   -0.114    0.099  1
RGI60-07.00296   127.50554   77.649242   17.590341   -0.552    0.096  1
RGI60-07.00857   127.26145   79.569153   16.961364   -0.026    0.090  1
RGI60-07.00502   126.48967   78.649867   12.646018   -0.536    0.090  1
RGI60-07.00235   125.72191   77.358491   15.914806   -0.791    0.104  1
RGI60-07.01505   122.12189   78.472501   21.480986   -0.209    0.071  1
RGI60-07.01425   119.93732   77.030590   17.007189   -0.782    0.096  1
RGI60-07.00813   119.15306   79.086743   14.327463   -0.400    0.077  1
RGI60-07.00465   118.98516   78.545155   13.895263   -0.901    0.111  1
