Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-08.00281    55.40545   66.566018   14.136137   -0.500    0.107  1
RGI60-08.00434    47.44673   61.612365    7.054278   -0.834    0.120  1
RGI60-08.01126    41.84866   61.709916    7.126382   -0.472    0.106  1
RGI60-08.00287    41.20423   66.672711   13.981652   -0.358    0.096  1
RGI60-08.01657    36.02203   66.658146   13.849769   -0.334    0.099  1
RGI60-08.02969    22.99352   59.978370    6.355649   -0.481    0.131  1
RGI60-08.02918    22.59148   59.970964    6.305106   -0.556    0.132  1
RGI60-08.00005    21.45405   67.132113   16.375523   -0.630    0.113  1
RGI60-08.01490    20.89751   66.623041   14.292003   -0.970    0.137  1
RGI60-08.02382    20.34961   67.270615   16.133404   -0.905    0.131  1
RGI60-08.01133    20.21429   61.726934    7.222307   -0.410    0.115  1
RGI60-08.00314    20.03336   61.687779    6.953876   -0.468    0.115  1
RGI60-08.01106    19.76859   61.621504    6.938604   -0.516    0.119  1
RGI60-08.01127    18.99150   61.706656    7.025558   -0.378    0.114  1
RGI60-08.02383    18.79077   67.248274   16.043235   -0.435    0.123  1
RGI60-08.01779    17.37244   60.537599    7.384935   -0.675    0.132  1
RGI60-08.00279    17.09746   66.646610   14.253515   -0.763    0.135  1
RGI60-08.02920    16.10875   59.981205    6.260610   -0.858    0.150  1
RGI60-08.01641    15.90229   66.660965   14.034052   -0.620    0.117  1
RGI60-08.02967    14.36376   60.039081    6.392775   -0.600    0.136  1
RGI60-08.03416    14.14057   66.014220   14.298084   -0.693    0.122  1
RGI60-08.01614    13.86747   66.649495   13.755270   -0.388    0.114  1
RGI60-08.01103    13.83764   61.523306    6.759198   -0.196    0.117  1
RGI60-08.01099    12.81657   61.513480    6.805577   -0.305    0.121  1
RGI60-08.00290    12.53110   66.600457   13.866119   -0.673    0.129  1
RGI60-08.01185    12.44891   61.802396    7.318619   -0.761    0.136  1
RGI60-08.01590    12.03620   66.592049   14.289624   -0.471    0.122  1
RGI60-08.02514    11.93391   70.153563   22.074683   -0.313    0.137  1
RGI60-08.00318    11.74564   61.706222    6.691372   -0.767    0.131  1
RGI60-08.01097    11.67986   61.658644    6.925060   -0.458    0.123  1
RGI60-08.02103    11.43493   68.224424   17.222376   -0.524    0.131  1
RGI60-08.01217    11.30667   61.690566    7.678370   -0.818    0.146  1
RGI60-08.00015    11.29810   67.128733   16.477324   -0.628    0.119  1
RGI60-08.02960    11.27709   60.003276    6.244263   -0.702    0.150  1
RGI60-08.02384    11.11486   67.291744   16.053425   -0.862    0.134  1
