Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.08285    17.24988   52.822038 -119.758731   -0.458    0.120  1
RGI60-02.04422    17.11996   51.177845 -125.243681   -0.252    0.099  1
RGI60-02.12468    17.03951   62.111656 -128.010879   -0.851    0.137  1
RGI60-02.02171    16.88409   50.806891 -116.929736   -0.587    0.138  1
RGI60-02.04426    16.88402   51.166215 -125.174565   -0.584    0.112  1
RGI60-02.12435    16.75546   52.124531 -117.319960   -0.337    0.128  1
RGI60-02.04437    16.72495   50.979265 -125.217490   -0.819    0.122  1
RGI60-02.06799    16.39219   52.204146 -118.753034   -0.135    0.123  1
RGI60-02.12441    16.14145   52.175447 -117.284017   -0.442    0.131  1
RGI60-02.07002    16.02231   52.211589 -118.009559   -1.344    0.176  1
RGI60-02.11048    15.99480   54.597918 -129.172320   -0.597    0.135  1
RGI60-02.01303    15.91670   50.450602 -123.426800   -0.463    0.111  1
RGI60-02.06149    15.80104   51.915326 -117.099156   -0.384    0.133  1
RGI60-02.05160    15.03987   51.607855 -125.996407   -0.539    0.118  1
RGI60-02.01147    15.03147   50.387148 -123.885846   -1.311    0.164  1
RGI60-02.08509    14.89684   52.893071 -120.130620   -0.671    0.136  1
RGI60-02.05822    14.87943   51.857866 -117.001933   -0.813    0.152  1
RGI60-02.08280    14.65477   52.763701 -119.699298   -0.335    0.120  1
RGI60-02.10355    14.65014   53.936354 -120.422167   -0.722    0.150  1
RGI60-02.08281    14.32006   52.801250 -119.683680   -0.327    0.118  1
RGI60-02.12436    14.22368   52.112324 -117.286036   -0.503    0.135  1
RGI60-02.06468    14.15669   51.785439 -125.934252   -0.471    0.114  1
RGI60-02.08283    14.12753   52.754886 -119.752152   -0.321    0.123  1
RGI60-02.04405    14.05482   51.219242 -125.410008   -0.417    0.110  1
RGI60-02.06589    14.01133   52.128359 -117.519051   -0.350    0.130  1
RGI60-02.00180    13.97083   49.757949 -122.584435   -0.782    0.132  1
RGI60-02.03686    13.44134   51.210734 -117.417609   -0.513    0.128  1
RGI60-02.08467    13.25190   52.907565 -127.367465   -0.982    0.151  1
RGI60-02.04407    13.22664   51.409048 -125.388672   -0.400    0.114  1
RGI60-02.02037    13.22660   50.744942 -123.305817   -0.743    0.123  1
RGI60-02.09723    13.21927   53.373977 -119.388168   -0.520    0.134  1
RGI60-02.03596    12.99184   51.153084 -124.436760   -0.407    0.125  1
RGI60-02.08769    12.97367   52.977914 -120.493632   -0.047    0.117  1
RGI60-02.04419    12.86155   51.124962 -125.308451   -0.513    0.114  1
RGI60-02.05173    12.65879   51.467749 -126.278237   -0.513    0.118  1
RGI60-02.06594    12.58719   52.133193 -126.374776   -0.149    0.112  1
RGI60-02.03327    12.48089   51.129868 -117.382175   -0.430    0.135  1
RGI60-02.03565    12.35279   51.054198 -124.474672   -0.385    0.124  1
RGI60-02.06016    12.25047   51.923366 -125.860525   -0.313    0.115  1
RGI60-02.12969    12.04220   62.024161 -127.761590   -0.894    0.142  1
RGI60-02.01152    12.01285   50.360739 -123.870085   -0.901    0.159  1
RGI60-02.06467    11.97486   51.878765 -125.962430   -0.173    0.111  1
RGI60-02.06477    11.95200   51.768476 -125.972212   -0.143    0.111  1
RGI60-02.06865    11.93684   52.205992 -117.711031   -0.423    0.136  1
RGI60-02.01313    11.89436   50.263574 -123.468851   -0.665    0.124  1
RGI60-02.07006    11.86865   52.260596 -118.023084   -0.484    0.138  1
RGI60-02.09254    11.77964   53.178632 -119.315499   -0.841    0.138  1
RGI60-02.04434    11.73446   51.079099 -125.276908   -0.460    0.117  1
RGI60-02.00212    11.64521   49.797979 -122.850330   -0.235    0.122  1
RGI60-02.01724    11.53683   50.634741 -123.778399   -0.509    0.120  1
RGI60-02.05517    11.50280   51.681708 -116.832818   -0.209    0.132  1
RGI60-02.02431    11.44314   50.816350 -123.992513   -0.410    0.127  1
RGI60-02.09027    11.42434   53.112982 -119.111844   -0.548    0.130  1
RGI60-02.03577    11.34251   50.989082 -124.641280   -0.358    0.120  1
RGI60-02.12433    11.32352   52.151932 -117.585978   -0.224    0.129  1
RGI60-02.04505    11.20515   51.474621 -124.870232   -0.344    0.109  1
RGI60-02.05181    11.08468   51.557349 -125.702021   -0.418    0.130  1
RGI60-02.04821    11.03246   51.535896 -116.417567   -0.549    0.156  1
RGI60-02.06558    10.97163   52.120742 -117.612843   -0.254    0.131  1
RGI60-02.02366    10.89307   50.726418 -124.409641   -0.005    0.119  1
RGI60-02.12440    10.86826   52.120117 -117.381977   -0.065    0.159  1
RGI60-02.05185    10.85798   51.644897 -125.899071   -0.383    0.117  1
RGI60-02.14297    10.58770   46.864779 -121.714010   -0.220    0.102  1
RGI60-02.00252    10.55393   49.805901 -122.630807   -0.911    0.146  1
RGI60-02.03571    10.44742   51.073386 -124.437766   -0.749    0.136  1
RGI60-02.00554    10.42476   50.064596 -121.887590   -1.091    0.153  1
RGI60-02.04674    10.40221   51.515226 -125.748619   -0.431    0.125  1
RGI60-02.07280    10.31422   52.408447 -118.951495   -0.234    0.126  1
RGI60-02.11525    10.29346   56.006127 -127.200264   -1.057    0.153  1
RGI60-02.05705    10.29038   51.751898 -117.901786   -0.546    0.141  1
RGI60-02.02611    10.18962   50.821675 -123.853305   -0.611    0.127  1
RGI60-02.06505    10.16421   51.991147 -126.039442   -0.901    0.142  1
RGI60-02.12011    10.08135   57.885621 -124.946141   -0.842    0.155  1
RGI60-02.09116    10.06061   53.146164 -119.031455   -0.884    0.140  1
RGI60-02.10949    10.05227   54.550901 -121.427248   -0.760    0.127  1
RGI60-02.02897    10.04483   50.988949 -123.696473   -0.868    0.143  1
