Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-12.01252    37.49160   43.040486   43.083129   -0.427    0.124  1
RGI60-12.00577    27.53486   42.972311   43.182522   -0.529    0.138  1
RGI60-12.00611    23.99147   42.783871   43.754609   -0.413    0.135  1
RGI60-12.01005    23.76914   43.157225   42.802156   -0.807    0.142  1
RGI60-12.01061    21.43954   43.357848   42.519440   -1.042    0.132  1
RGI60-12.00552    18.93931   42.932402   43.280413   -0.875    0.172  1
RGI60-12.00080    17.72265   43.313523   42.425606   -0.459    0.114  1
RGI60-12.00014    12.78607   43.377102   42.428089   -0.157    0.111  1
RGI60-12.01262    12.73622   43.058498   43.172058   -0.173    0.152  1
RGI60-12.00089    12.31835   43.053329   42.991141   -0.500    0.148  1
RGI60-12.01302    11.87328   42.753469   43.820013   -0.532    0.153  1
RGI60-12.00375    11.28069   43.091549   43.004022   -0.387    0.128  1
RGI60-12.00730    10.97407   43.329351   42.501867   -0.461    0.121  1
RGI60-12.00639     9.88947   43.108508   43.039015   -0.494    0.140  1
RGI60-12.00130     9.58635   43.023397   43.016448    0.104    0.152  1
RGI60-12.00170     9.58133   43.106794   42.949533   -0.415    0.146  1
RGI60-12.00730     9.47784   43.320147   42.476222   -0.140    0.116  1
RGI60-12.00168     9.45189   43.317933   42.449794   -0.093    0.117  1
RGI60-12.00031     9.24257   43.140547   42.692871   -0.467    0.135  1
RGI60-12.00175     8.89084   42.703687   44.444181   -0.410    0.140  1
RGI60-12.01165     8.59199   42.995526   43.052179   -0.109    0.146  1
RGI60-12.00031     8.28116   43.163325   42.653604   -0.670    0.154  1
RGI60-12.00531     8.16469   42.721617   44.388576   -0.708    0.154  1
RGI60-12.00699     7.52897   43.062502   43.239527   -0.156    0.165  1
RGI60-12.00260     7.34870   43.164079   42.902873   -0.570    0.144  1
RGI60-12.00923     7.33359   43.175416   42.495634   -0.423    0.133  1
RGI60-12.00769     7.00779   43.028766   43.181779   -0.196    0.152  1
RGI60-12.00507     6.84933   43.370592   42.480518   -0.252    0.119  1
RGI60-12.00320     6.76050   42.976257   43.483268   -0.493    0.158  1
RGI60-12.00164     6.57084   42.719423   44.482878   -0.267    0.137  1
RGI60-12.00083     6.41774   43.301485   41.487690   -1.311    0.189  1
RGI60-12.00813     6.30350   42.826992   43.626927   -0.620    0.159  1
RGI60-12.01132     6.26701   43.178039   42.768936   -0.334    0.144  1
RGI60-12.00676     5.99849   43.131230   42.958145   -0.653    0.171  1
RGI60-12.00507     5.93998   43.383466   42.448101   -0.160    0.122  1
RGI60-12.00709     5.77108   42.683250   44.515083   -0.290    0.141  1
RGI60-12.00193     5.72462   43.281863   41.530639   -1.026    0.162  1
RGI60-12.00479     5.68690   43.352428   42.399514   -0.071    0.126  1
RGI60-12.00004     5.66495   42.800846   43.806455   -0.589    0.174  1
RGI60-12.01349     5.66380   39.710174   44.293205   -0.266    0.133  1
RGI60-12.00034     5.36103   43.170513   42.526942   -0.466    0.140  1
RGI60-12.00507     5.35218   43.377820   42.464598   -0.218    0.122  1
RGI60-12.00998     5.31882   43.181557   42.812335   -0.543    0.162  1
RGI60-12.01120     4.72448   43.130036   42.640895   -0.644    0.165  1
RGI60-12.00669     4.65167   43.122051   42.834509   -0.607    0.167  1
RGI60-12.01112     4.63022   43.234430   41.627613   -0.936    0.171  1
RGI60-12.00763     4.62117   42.766192   43.718131   -0.267    0.160  1
RGI60-12.01125     4.60104   43.033051   42.961567   -0.171    0.157  1
RGI60-12.00494     4.50655   42.829468   43.595037   -0.712    0.170  1
RGI60-12.00840     4.40775   42.709352   44.517936   -0.114    0.139  1
RGI60-12.00374     4.33078   43.099179   42.836351   -0.747    0.175  1
RGI60-12.01842     4.30505   36.381164   50.941993   -0.395    0.149  1
RGI60-12.00849     4.04877   43.190120   42.724761   -0.637    0.177  1
RGI60-12.00184     3.95846   43.239185   41.572562   -0.598    0.141  1
RGI60-12.01192     3.87942   42.887433   43.496441   -0.321    0.161  1
RGI60-12.00115     3.87786   43.265678   41.562479   -0.959    0.175  1
RGI60-12.00686     3.86045   43.236132   42.913105   -0.519    0.174  1
RGI60-12.01100     3.84267   42.990922   43.448247   -0.501    0.159  1
RGI60-12.01233     3.79007   43.037456   43.240986   -0.498    0.197  1
RGI60-12.00981     3.73416   42.928466   42.532794   -0.511    0.142  1
RGI60-12.00912     3.67354   42.729114   43.854144   -0.597    0.178  1
RGI60-12.00748     3.66091   42.883850   43.383534   -0.586    0.166  1
RGI60-12.00255     3.60977   42.978723   43.105381   -0.265    0.175  1
RGI60-12.01192     3.54906   42.873798   43.517710   -0.690    0.182  1
RGI60-12.00883     3.50492   43.051297   43.273940   -0.579    0.195  1
RGI60-12.00545     3.46272   43.184969   42.478975   -0.534    0.144  1
RGI60-12.01088     3.31449   43.316632   41.444205   -1.030    0.196  1
RGI60-12.01027     3.30063   42.898543   43.368590   -0.682    0.175  1
RGI60-12.00682     3.26006   42.754636   43.755880   -0.554    0.183  1
RGI60-12.01027     3.23815   42.900647   43.418621   -0.919    0.200  1
RGI60-12.00613     3.15564   43.222931   42.895551   -0.296    0.148  1
RGI60-12.00743     3.12705   43.185319   42.852629   -0.518    0.162  1
RGI60-12.01844     3.11307   36.387289   50.973686   -0.284    0.142  1
RGI60-12.00346     3.07332   43.216761   42.117240   -0.631    0.158  1
RGI60-12.00474     3.05979   43.251179   41.589465   -0.592    0.155  1
RGI60-12.00259     3.05449   43.186808   42.692396   -0.411    0.156  1
RGI60-12.01228     3.01077   43.212076   42.503506   -0.388    0.174  1
RGI60-12.00336     2.96741   42.966414   43.522143   -0.735    0.179  1
RGI60-12.00431     2.94868   43.217655   42.081868   -0.641    0.168  1
RGI60-12.00483     2.89150   43.152906   42.616001   -0.312    0.146  1
RGI60-12.00960     2.82170   43.363143   41.417208   -0.901    0.226  1
RGI60-12.00807     2.68548   43.147119   42.470453   -0.699    0.167  1
RGI60-12.00705     2.66659   42.911404   43.396432   -0.528    0.172  1
RGI60-12.00865     2.65507   43.010455   43.374638   -0.456    0.181  1
RGI60-12.00187     2.64601   42.816262   43.783556   -0.866    0.197  1
RGI60-12.01240     2.62016   43.388931   41.221753   -0.848    0.256  1
RGI60-12.01429     2.61986   42.576357   45.332914   -0.211    0.161  1
RGI60-12.01170     2.61706   43.118972   43.081086   -0.327    0.162  1
RGI60-12.00842     2.61326   43.296730   41.518714   -0.734    0.153  1
RGI60-12.00743     2.60170   43.215029   42.863806   -0.744    0.190  1
RGI60-12.01010     2.60160   43.226455   42.181776   -0.715    0.181  1
RGI60-12.01500     2.59181   42.334866   46.223235   -0.336    0.166  1
RGI60-12.01026     2.58847   43.200051   42.539044   -0.490    0.156  1
RGI60-12.00686     2.55899   43.254729   42.880240   -0.431    0.312  1
RGI60-12.00131     2.51078   42.731139   44.440653   -0.130    0.160  1
RGI60-12.01105     2.49953   43.152557   42.943722   -0.431    0.161  1
RGI60-12.01149     2.48766   42.960842   43.448988   -0.390    0.166  1
RGI60-12.00298     2.48315   42.795385   43.700835   -0.503    0.181  1
RGI60-12.01012     2.44849   42.884341   43.418048   -0.568    0.179  1
RGI60-12.01226     2.37765   42.916718   42.572027   -0.424    0.152  1
RGI60-12.01113     2.36281   43.098922   42.093664   -0.379    0.144  1
RGI60-12.00450     2.32612   43.302380   42.469909   -0.450    0.147  1
RGI60-12.00165     2.32515   42.697127   44.482194   -0.120    0.154  1
RGI60-12.00064     2.29939   43.181591   42.675861   -0.459    0.179  1
RGI60-12.00991     2.29400   42.965421   43.131867   -0.285    0.177  1
RGI60-12.01142     2.29111   42.958794   43.157180   -0.374    0.189  1
RGI60-12.01153     2.28798   43.172167   42.607202   -0.445    0.151  1
RGI60-12.00355     2.28123   43.237830   41.672829   -0.654    0.176  1
RGI60-12.00229     2.28007   43.142088   42.336596   -0.538    0.157  1
RGI60-12.00776     2.26851   43.141827   42.873500   -0.344    0.183  1
RGI60-12.01026     2.25705   43.190144   42.534420   -0.400    0.154  1
RGI60-12.00644     2.24027   43.293371   42.935641   -0.426    0.165  1
RGI60-12.01132     2.23458   43.194573   42.760593   -0.756    0.173  1
RGI60-12.01297     2.22436   43.222817   41.842681   -1.055    0.205  1
RGI60-12.00903     2.20596   43.178181   42.879479   -0.799    0.175  1
RGI60-12.00882     2.19752   43.010755   43.404341   -0.365    0.168  1
RGI60-12.01122     2.18592   43.356250   41.336665   -1.299    0.233  1
RGI60-12.01180     2.13039   42.978171   43.432630   -0.424    0.172  1
RGI60-12.00275     2.08373   43.249905   42.392799   -0.813    0.171  1
RGI60-12.00305     2.07547   43.116326   42.807193   -0.373    0.163  1
RGI60-12.00490     2.07132   42.702616   44.416566   -0.146    0.161  1
RGI60-12.00798     2.05891   42.806230   43.653436   -1.014    0.230  1
RGI60-12.00231     2.04452   43.254371   41.651732   -0.414    0.155  1
RGI60-12.01443     2.04357   42.511163   45.679463   -0.370    0.168  1
RGI60-12.00520     2.02242   43.131611   43.100569   -0.375    0.186  1
RGI60-12.01250     2.01370   42.744656   44.382916   -0.348    0.169  1
RGI60-12.01240     2.00210   43.376447   41.233936   -0.645    0.270  1
RGI60-12.00090     1.99247   43.206733   42.099095   -0.183    0.153  1
