Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-04.06187  2769.62120   70.021441  -73.057454   -0.871    0.095  1
RGI60-04.06188  1050.62699   69.818033  -73.209157   -0.780    0.108  1
RGI60-04.06181   959.13546   69.984315  -73.964423   -0.878    0.109  1
RGI60-04.05774   811.54506   67.124112  -66.080964   -0.600    0.093  1
RGI60-04.05514   661.38012   67.091624  -65.353250   -0.470    0.104  1
RGI60-04.06185   584.83115   70.223246  -74.416544   -1.090    0.102  1
RGI60-04.07131   575.79580   73.314502  -78.366796   -0.459    0.089  1
RGI60-04.05688   468.15544   67.304215  -65.544450   -0.667    0.116  1
RGI60-04.04988   419.76646   72.338781  -75.784037   -0.614    0.093  1
RGI60-04.05529   416.59455   67.328347  -66.472889   -0.489    0.092  1
RGI60-04.06851   391.02979   66.847887  -65.461075   -0.784    0.119  1
RGI60-04.05745   353.78176   67.266345  -66.987956   -0.748    0.098  1
RGI60-04.06998   350.28819   73.386876  -78.896174   -0.596    0.093  1
RGI60-04.07148   345.64427   73.104333  -77.404975   -0.561    0.078  1
RGI60-04.04543   307.66274   66.339809  -63.394386   -0.869    0.094  1
RGI60-04.07104   278.62979   73.492384  -79.524308   -0.548    0.089  1
RGI60-04.05736   272.82742   67.003073  -65.795118   -0.639    0.109  1
RGI60-04.05018   271.01349   72.030101  -76.695354   -0.543    0.099  1
RGI60-04.06981   265.65364   73.232111  -77.783875   -0.510    0.086  1
RGI60-04.07013   262.20038   73.058450  -78.103457   -0.523    0.090  1
RGI60-04.07035   242.93745   73.171642  -78.921649   -0.354    0.082  1
RGI60-04.04980   230.86018   72.195875  -76.284311   -0.545    0.106  1
RGI60-04.05746   229.80431   67.338886  -67.152137   -0.850    0.107  1
RGI60-04.05755   228.59656   67.497091  -66.882615   -0.613    0.107  1
RGI60-04.07156   226.95021   73.048134  -78.637986   -0.433    0.108  1
RGI60-04.06186   220.23562   70.431958  -74.510075   -1.154    0.113  1
RGI60-04.04982   210.42553   72.295013  -76.736233   -0.550    0.100  1
RGI60-04.06852   209.02538   67.407156  -65.929977   -0.752    0.103  1
RGI60-04.03263   192.86454   70.666244  -71.878218   -0.565    0.114  1
RGI60-04.05765   186.86706   67.382143  -66.150166   -0.657    0.100  1
RGI60-04.07052   167.88313   73.581497  -80.026303   -0.511    0.095  1
RGI60-04.05012   162.68703   71.887323  -76.923218   -0.466    0.102  1
RGI60-04.03950   158.73835   71.899731  -74.985265   -0.461    0.103  1
RGI60-04.07066   148.75014   73.204787  -79.297659   -0.625    0.086  1
RGI60-04.06913   146.14647   73.307855  -79.411912   -0.644    0.093  1
RGI60-04.05740   141.88853   67.296170  -66.749070   -0.468    0.098  1
RGI60-04.05523   130.60061   66.915725  -65.046090   -0.736    0.132  1
RGI60-04.07157   129.84935   73.074425  -78.972770   -0.406    0.081  1
RGI60-04.06949   127.72375   73.389327  -79.941184   -0.735    0.101  1
RGI60-04.06928   123.50851   73.348161  -79.673768   -0.666    0.093  1
RGI60-04.06183   123.10638   70.045986  -74.400150   -1.327    0.129  1
RGI60-04.04555   122.26314   66.139959  -63.371382   -0.929    0.107  1
RGI60-04.05748   120.32730   67.432981  -67.436597   -1.525    0.155  1
RGI60-04.03275   115.50732   70.569385  -72.156257   -0.407    0.124  1
RGI60-04.05862   115.06310   69.062962  -68.540645   -0.670    0.118  1
RGI60-04.05032   112.61932   72.415854  -76.906490   -0.682    0.099  1
RGI60-04.06182   110.17964   69.854658  -73.671187   -0.840    0.137  1
RGI60-04.06939   106.81698   73.005611  -77.630241   -0.659    0.096  1
RGI60-04.06097   104.87221   69.429637  -69.529418   -0.554    0.108  1
RGI60-04.06962   104.63971   73.459654  -80.121984   -0.678    0.109  1
RGI60-04.04996   103.74671   72.230907  -75.496958   -0.548    0.105  1
RGI60-04.05758   101.58885   67.527266  -66.721746   -0.744    0.114  1
RGI60-04.03261   100.43770   70.795907  -71.497092   -0.523    0.116  1
RGI60-04.05557    98.67984   67.526128  -67.406910   -1.184    0.143  1
RGI60-04.04924    97.88668   72.352993  -76.111776   -0.530    0.112  1
RGI60-04.00400    95.83242   70.353945  -70.116419   -0.712    0.124  1
RGI60-04.05706    94.89077   66.806742  -65.088818   -0.696    0.135  1
RGI60-04.02979    94.23696   69.857066  -70.019786   -0.678    0.117  1
RGI60-04.04030    94.21010   71.882078  -75.895120   -0.430    0.097  1
RGI60-04.03948    94.02489   71.990927  -74.877914   -0.518    0.110  1
RGI60-04.06965    93.28913   72.998443  -76.927740   -0.736    0.092  1
RGI60-04.05761    90.92566   67.460577  -66.354196   -0.717    0.110  1
RGI60-04.06130    89.69373   69.336606  -69.500146   -0.614    0.112  1
RGI60-04.05230    88.84582   73.129513  -81.102012   -0.486    0.097  1
RGI60-04.04021    87.12949   71.788023  -75.310081   -0.625    0.116  1
RGI60-04.05567    85.98199   67.452347  -67.233690   -0.990    0.127  1
RGI60-04.00452    82.11760   70.280449  -70.244199   -0.688    0.117  1
RGI60-04.07137    79.66921   73.376489  -77.774512   -0.659    0.103  1
RGI60-04.03510    78.69604   70.918008  -72.699887   -0.503    0.129  1
RGI60-04.06114    78.66476   69.358306  -69.771054   -0.719    0.116  1
RGI60-04.04008    78.19758   71.835152  -74.901260   -0.473    0.110  1
RGI60-04.04464    78.07333   65.945072  -63.821902   -0.927    0.108  1
RGI60-04.04558    76.66917   66.052783  -63.817580   -0.879    0.108  1
RGI60-04.06128    74.24059   69.432902  -69.189649   -0.631    0.119  1
RGI60-04.03522    74.04231   70.853512  -73.062060   -0.479    0.106  1
RGI60-04.02876    73.97067   69.657034  -69.143753   -0.628    0.129  1
RGI60-04.03035    72.12795   69.781017  -70.175693   -0.513    0.113  1
RGI60-04.04964    71.88311   72.461419  -76.530254   -0.537    0.110  1
RGI60-04.05005    71.70016   72.012241  -76.328108   -0.367    0.108  1
RGI60-04.03352    71.06384   70.427831  -71.460123   -0.495    0.122  1
RGI60-04.06972    70.17424   73.449177  -77.981843   -0.654    0.118  1
RGI60-04.01632    70.03676   66.613070  -64.968401   -1.030    0.149  1
RGI60-04.04718    68.20961   72.621154  -77.237427   -0.603    0.094  1
RGI60-04.05015    67.71307   72.034593  -77.408898   -0.500    0.123  1
RGI60-04.03453    66.94387   70.942406  -73.131457   -0.450    0.098  1
RGI60-04.05681    66.92477   67.438315  -65.508242   -0.564    0.134  1
RGI60-04.04590    66.56754   66.276928  -63.547804   -0.994    0.114  1
RGI60-04.06148    66.31616   69.495829  -68.730813   -0.810    0.145  1
RGI60-04.04081    66.21344   72.011633  -75.765183   -0.418    0.097  1
RGI60-04.00977    66.10562   66.575322  -62.431483   -0.940    0.115  1
RGI60-04.05498    65.05187   67.478982  -65.728548   -0.723    0.117  1
RGI60-04.03512    64.31090   70.985181  -72.572833   -0.754    0.137  1
RGI60-04.05013    64.09219   71.932823  -77.069478   -0.476    0.110  1
RGI60-04.05036    63.18338   72.512683  -76.778403   -0.645    0.098  1
RGI60-04.02621    61.95749   67.975852  -67.399967   -0.597    0.139  1
RGI60-04.01048    60.85147   66.494895  -62.612638   -1.027    0.124  1
RGI60-04.05630    59.87489   66.868343  -65.675327   -0.830    0.137  1
RGI60-04.04091    59.77477   71.884322  -76.103309   -0.542    0.106  1
RGI60-04.05009    59.21095   71.858212  -76.625080   -0.498    0.107  1
RGI60-04.00223    58.34292   64.166741  -65.843694   -0.540    0.099  1
RGI60-04.07051    58.16532   73.593156  -80.323538   -0.555    0.103  1
RGI60-04.06967    58.04785   72.972556  -77.129892   -0.808    0.103  1
RGI60-04.03443    57.87562   70.909822  -72.929232   -0.385    0.113  1
RGI60-04.04955    57.85036   71.996126  -77.323500   -0.306    0.122  1
RGI60-04.02893    57.48531   69.763795  -68.984414   -0.616    0.138  1
RGI60-04.04479    57.36997   66.147684  -63.561488   -0.933    0.115  1
RGI60-04.06104    56.53890   69.427595  -69.994585   -0.760    0.127  1
RGI60-04.05617    56.03455   67.556430  -67.245269   -1.169    0.145  1
RGI60-04.03039    55.77561   69.943132  -69.510909   -0.534    0.135  1
RGI60-04.03534    55.72976   71.064919  -73.063697   -0.499    0.100  1
RGI60-04.02936    55.68658   69.688720  -69.348655   -0.740    0.134  1
RGI60-04.03972    54.92367   71.935131  -75.222670   -0.457    0.115  1
RGI60-04.05008    53.50554   71.906274  -76.577668   -0.469    0.112  1
RGI60-04.00594    53.37586   70.338098  -70.891159   -0.452    0.118  1
RGI60-04.05129    52.84523   73.313086  -82.940686   -0.283    0.141  1
