Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-13.54431   664.12705   38.770163   72.257629   -0.212    0.067  1
RGI60-13.05000   373.68340   42.127497   80.032436   -0.093    0.070  1
RGI60-13.43207   358.02181   41.932026   79.997792   -0.089    0.083  1
RGI60-13.43483   282.51266   42.145830   80.392439   -0.030    0.107  1
RGI60-13.53720   237.26893   35.285696   80.880478   -0.088    0.086  1
RGI60-13.37753   236.57975   35.407435   80.971439   -0.133    0.079  1
RGI60-13.37682   198.93169   35.398542   80.755253   -0.019    0.084  1
RGI60-13.43528   167.71224   42.287640   80.434581   -0.265    0.106  1
RGI60-13.53223   165.94595   35.316613   81.099130   -0.200    0.086  1
RGI60-13.43613   165.69567   42.304765   80.921880   -0.434    0.124  1
RGI60-13.13574   152.19142   38.567955   72.472329   -0.050    0.072  1
RGI60-13.43252   140.85205   41.950714   80.160226    0.053    0.100  1
RGI60-13.37574   134.89543   35.385090   81.285213   -0.293    0.090  1
RGI60-13.19758   129.48788   38.855382   71.957970    0.116    0.092  1
RGI60-13.00965   128.07257   30.516119   94.679182   -0.778    0.117  1
RGI60-13.37647   120.41609   35.462024   80.628324   -0.109    0.092  1
RGI60-13.41724   115.07179   38.638479   75.254511   -0.039    0.098  1
RGI60-13.04960   112.80689   42.242345   80.103949   -0.453    0.097  1
RGI60-13.53249   111.28637   35.261454   81.461522    0.047    0.104  1
RGI60-13.53696   108.09899   35.294607   80.679106   -0.155    0.093  1
RGI60-13.36226    96.56830   36.407523   87.292470    0.085    0.091  1
RGI60-13.43308    93.89710   42.040586   80.376503   -0.190    0.136  1
RGI60-13.17829    91.96582   39.523676   70.595777   -0.198    0.111  1
RGI60-13.37727    90.18422   35.471775   80.864893    0.069    0.092  1
RGI60-13.00982    89.83884   30.506672   94.474781   -1.070    0.158  1
RGI60-13.43232    86.82515   41.804607   80.107085   -0.144    0.121  1
RGI60-13.41617    86.56389   38.557485   75.356894   -0.098    0.096  1
RGI60-13.26239    86.42728   28.188078   90.262007   -0.380    0.090  1
RGI60-13.53679    85.46871   35.407913   80.492753    0.158    0.090  1
RGI60-13.37603    84.90650   35.351212   81.482894   -0.237    0.103  1
RGI60-13.05038    84.02168   42.074548   79.719209   -0.310    0.101  1
RGI60-13.33983    83.93819   36.065457   91.021155   -0.534    0.085  1
RGI60-13.19757    81.44269   38.766070   72.131591    0.031    0.097  1
RGI60-13.37536    81.26224   35.429650   81.157220   -0.188    0.095  1
RGI60-13.53689    80.93424   35.364820   80.588673    0.108    0.099  1
RGI60-13.30888    78.73357   42.321973   81.097925   -0.330    0.117  1
RGI60-13.41765    77.66382   38.255753   75.181249    0.054    0.099  1
RGI60-13.37809    76.85942   35.508034   80.448409    0.105    0.091  1
RGI60-13.43267    75.09512   42.004600   80.251185   -0.015    0.137  1
RGI60-13.13261    73.40362   39.306619   73.015382   -0.061    0.081  1
RGI60-13.13265    69.66223   39.305780   72.924067   -0.314    0.089  1
RGI60-13.43388    69.19467   42.004012   80.581383   -0.217    0.131  1
RGI60-13.54364    69.04539   34.309543   85.872509   -0.054    0.087  1
RGI60-13.48546    68.98088   36.077317   90.881994   -0.529    0.084  1
RGI60-13.49060    62.41686   36.380239   87.414031    0.030    0.099  1
RGI60-13.08085    62.24050   41.876983   78.296990   -0.490    0.112  1
RGI60-13.37523    61.85578   35.479049   81.097517    0.011    0.095  1
RGI60-13.13260    59.81841   39.389661   73.011755   -0.034    0.089  1
RGI60-13.01329    58.70115   30.583078   94.535661   -0.918    0.146  1
RGI60-13.04933    56.44571   42.284876   79.913664   -0.513    0.102  1
RGI60-13.02996    56.20888   30.317269   93.723242   -0.622    0.113  1
RGI60-13.24823    54.27492   33.502911   91.104815   -0.541    0.114  1
RGI60-13.43663    53.45168   42.216422   80.955617   -0.072    0.124  1
RGI60-13.19763    52.95474   38.896566   71.811759    0.125    0.107  1
RGI60-13.49059    51.88553   36.443447   87.417743   -0.067    0.097  1
RGI60-13.53885    51.48324   33.961965   89.134776   -0.183    0.109  1
RGI60-13.37825    51.43900   35.493243   80.522351    0.173    0.092  1
RGI60-13.13259    51.35716   39.322034   73.105817   -0.099    0.087  1
RGI60-13.37626    50.88321   35.497270   81.616723    0.079    0.108  1
RGI60-13.20255    49.96667   38.953177   71.746872   -0.425    0.112  1
RGI60-13.31151    49.46523   42.400470   80.949011   -0.436    0.141  1
RGI60-13.36212    48.82283   36.377974   87.179000    0.045    0.102  1
RGI60-13.38870    48.77128   36.149634   79.379030    0.150    0.085  1
RGI60-13.43639    48.57218   42.222955   80.846372   -0.016    0.140  1
RGI60-13.12485    48.44135   39.482222   73.752710   -0.028    0.093  1
RGI60-13.01027    48.35774   30.539497   94.851387   -1.120    0.158  1
RGI60-13.01964    48.21683   30.334606   93.952962   -0.685    0.122  1
RGI60-13.54211    48.08305   33.894971   89.123386   -0.455    0.125  1
RGI60-13.51726    47.85176   34.352997   80.862001    0.002    0.105  1
RGI60-13.13272    47.09574   38.784354   72.489485   -0.122    0.082  1
RGI60-13.13224    46.91258   39.361065   72.681253   -0.123    0.097  1
RGI60-13.53230    46.08033   35.317602   81.183672   -0.100    0.104  1
RGI60-13.41792    44.75855   38.557983   75.247573    0.191    0.101  1
RGI60-13.37983    44.47613   35.819319   80.421575    0.187    0.088  1
RGI60-13.14321    44.41702   39.486656   73.586935    0.180    0.089  1
RGI60-13.37842    44.16177   35.527493   80.573456    0.123    0.096  1
RGI60-13.04934    43.31480   42.319063   80.047034   -0.224    0.092  1
RGI60-13.01430    43.10108   29.666593   95.044561   -0.265    0.125  1
RGI60-13.54059    42.49719   35.436111   82.076512    0.206    0.098  1
RGI60-13.39363    42.48801   36.047497   79.449303    0.180    0.094  1
RGI60-13.37600    41.86004   35.390980   81.393957   -0.192    0.111  1
RGI60-13.02414    41.21533   30.321365   93.586837   -0.577    0.118  1
RGI60-13.43149    41.15904   41.935414   79.838592   -0.043    0.120  1
RGI60-13.19750    40.24224   38.987962   71.878903   -0.304    0.109  1
