Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-15.11909   179.67601   29.334731   96.652584   -0.994    0.133  1
RGI60-15.06881   121.88733   30.802263   79.146174   -0.564    0.095  1
RGI60-15.11926    96.32034   29.215953   96.743257   -0.733    0.128  1
RGI60-15.09991    73.15683   28.048358   86.829881   -0.749    0.101  1
RGI60-15.02703    68.63400   27.741876   88.239248   -0.494    0.105  1
RGI60-15.10718    66.08105   28.117690   90.370847   -0.657    0.104  1
RGI60-15.09803    64.34142   27.986025   86.989561   -0.325    0.113  1
RGI60-15.03473    61.00665   28.053789   86.708018   -0.451    0.099  1
RGI60-15.02846    58.23264   27.800284   88.139293   -0.511    0.104  1
RGI60-15.12644    55.11524   29.160190   96.948170   -1.139    0.150  1
RGI60-15.07141    52.71939   30.892329   79.223552   -0.213    0.094  1
RGI60-15.06977    52.00852   30.918949   79.670281   -0.513    0.108  1
RGI60-15.07122    49.30597   30.777445   79.311185   -0.528    0.108  1
RGI60-15.06720    48.89270   30.534181   80.052497   -0.438    0.145  1
RGI60-15.01078    47.66881   30.400998   95.174692   -0.637    0.127  1
RGI60-15.09921    47.07595   28.146517   86.716393   -0.286    0.105  1
RGI60-15.09870    46.65305   27.921441   87.133777   -0.147    0.114  1
RGI60-15.00621    45.98475   30.302412   95.146969   -0.914    0.141  1
RGI60-15.09675    42.70955   28.285744   86.295765   -0.538    0.111  1
RGI60-15.04515    42.44659   28.507898   84.129236   -0.097    0.114  1
RGI60-15.01485    41.52968   28.025550   92.698211   -0.279    0.128  1
RGI60-15.07153    39.58797   30.822776   79.655412   -0.513    0.110  1
RGI60-15.01152    37.78213   29.625911   95.110252    0.022    0.171  1
RGI60-15.04121    37.77651   28.305004   85.701444   -0.581    0.120  1
RGI60-15.04151    36.06719   28.421651   84.687402   -0.246    0.132  1
RGI60-15.11880    35.58789   29.418508   96.423112   -0.547    0.121  1
RGI60-15.09255    35.03257   28.365056   85.146866   -0.187    0.114  1
RGI60-15.02231    34.41414   28.021027   90.440464   -0.601    0.114  1
RGI60-15.09474    34.18402   28.316069   85.750365   -0.598    0.121  1
RGI60-15.07034    34.08582   30.315211   79.821585   -0.276    0.124  1
RGI60-15.10299    34.05986   28.428744   85.692373   -0.805    0.125  1
RGI60-15.10147    33.26534   28.110724   86.613063   -0.654    0.109  1
RGI60-15.02709    32.17781   27.661057   88.095121   -0.519    0.110  1
RGI60-15.10755    32.04627   28.080796   90.472051   -0.292    0.104  1
RGI60-15.02229    31.55003   28.139837   90.152358   -0.372    0.109  1
RGI60-15.04541    31.29012   28.718816   84.449398   -0.072    0.130  1
RGI60-15.07500    30.67879   30.834550   78.884258   -0.251    0.103  1
RGI60-15.09408    29.99464   28.525795   85.542058   -0.595    0.126  1
RGI60-15.03619    29.94399   27.907972   87.005096   -0.831    0.128  1
RGI60-15.10994    29.94088   29.800339   82.727324   -0.772    0.130  1
RGI60-15.06666    29.87508   30.375319   80.321363   -0.585    0.131  1
RGI60-15.06558    29.63711   30.684092   79.342553   -0.640    0.116  1
RGI60-15.06563    29.57337   30.449536   79.986936   -0.454    0.154  1
RGI60-15.09361    29.16439   28.609071   85.427312   -0.584    0.126  1
RGI60-15.11888    28.83928   29.413655   96.511017   -0.658    0.121  1
RGI60-15.11003    28.62634   29.752325   82.798334   -0.664    0.119  1
RGI60-15.01077    28.59880   30.627639   95.119086   -0.850    0.140  1
RGI60-15.03448    28.55288   27.874610   86.533960   -0.444    0.112  1
RGI60-15.10434    28.35221   27.904175   88.108004   -0.466    0.105  1
RGI60-15.09871    28.25227   27.867704   87.131088   -0.233    0.116  1
RGI60-15.11823    28.22253   29.577050   96.080503   -0.740    0.142  1
RGI60-15.12500    28.15069   29.377819   96.463994   -0.266    0.123  1
RGI60-15.04676    27.88890   28.903087   84.167354   -0.395    0.121  1
RGI60-15.06574    27.80638   30.973666   79.182071   -0.156    0.103  1
RGI60-15.08775    27.43236   30.975243   79.270028   -0.373    0.105  1
RGI60-15.03422    27.14258   28.055015   86.577985   -0.718    0.120  1
RGI60-15.10135    26.82840   28.290584   86.438516   -1.001    0.131  1
RGI60-15.09459    26.79855   28.401445   85.648354   -0.499    0.120  1
RGI60-15.10055    26.70572   28.044844   86.936362   -0.409    0.097  1
RGI60-15.07893    25.84506   29.623227  101.943623   -0.180    0.119  1
RGI60-15.09729    25.83392   28.273523   86.374852   -0.376    0.113  1
RGI60-15.03206    25.72487   27.628445   88.154926   -0.096    0.109  1
RGI60-15.12112    25.48703   29.371781   96.040347   -0.774    0.134  1
RGI60-15.11957    25.38224   29.156535   96.897911   -1.017    0.158  1
RGI60-15.09771    25.33404   27.974037   86.480975   -0.829    0.124  1
RGI60-15.04438    25.21178   28.696386   83.303759   -0.255    0.111  1
RGI60-15.04833    24.76325   28.708906   83.243801   -0.129    0.111  1
RGI60-15.07374    24.73446   31.193125   78.576646   -0.479    0.139  1
RGI60-15.07886    24.55417   29.584865  101.913759   -0.728    0.141  1
RGI60-15.04415    24.25913   28.724327   83.395755   -0.236    0.109  1
RGI60-15.03366    23.82633   27.823549   87.019303   -0.479    0.115  1
RGI60-15.09500    23.44555   28.378767   85.817959   -0.274    0.117  1
RGI60-15.13104    22.69844   31.050758   79.450504   -0.484    0.105  1
RGI60-15.10232    22.50995   28.330951   86.364099   -0.414    0.113  1
RGI60-15.09426    22.41211   28.463706   85.579824   -0.662    0.129  1
RGI60-15.02644    21.80078   28.136774   89.998333   -0.624    0.119  1
RGI60-15.10255    21.34238   28.385990   85.750226   -0.227    0.112  1
RGI60-15.11855    21.28552   29.478272   96.274317   -0.835    0.151  1
