Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-14.07524  1078.00147   35.451923   77.029261   -0.072    0.074  1
RGI60-14.06794   808.79712   35.739672   76.423256   -0.056    0.073  1
RGI60-14.00005   559.41185   35.961267   75.680604   -0.032    0.072  1
RGI60-14.04477   495.25796   36.144686   75.285128   -0.303    0.090  1
RGI60-14.05890   439.79875   35.394299   77.442887   -0.157    0.079  1
RGI60-14.04593   392.80364   36.072634   76.095984   -0.088    0.072  1
RGI60-14.04668   334.48353   35.952108   75.964553   -0.055    0.073  1
RGI60-14.02150   311.41883   36.573959   74.525777   -0.042    0.085  1
RGI60-14.04638   295.08851   35.954269   75.042167   -0.265    0.086  1
RGI60-14.07239   256.08747   35.532521   76.666860    0.103    0.093  1
RGI60-14.04404   203.18319   36.196895   75.491305   -0.098    0.090  1
RGI60-14.06580   199.07136   35.886938   76.274218   -0.045    0.080  1
RGI60-14.01823   186.01438   36.749635   73.737618   -0.322    0.088  1
RGI60-14.07794   182.20344   35.173940   77.459323   -0.247    0.088  1
RGI60-14.04411   175.86425   36.091068   75.832815   -0.401    0.086  1
RGI60-14.04291   167.31129   36.187429   75.665229   -0.219    0.089  1
RGI60-14.08555   147.56530   34.822217   77.861572   -0.133    0.081  1
RGI60-14.03334   133.64844   36.270940   75.289848    0.083    0.105  1
RGI60-14.05872   132.54494   35.296790   76.938157   -0.065    0.099  1
RGI60-14.02849   122.39339   36.527444   74.234095    0.198    0.086  1
RGI60-14.07756   117.08641   35.310128   77.341187   -0.070    0.101  1
RGI60-14.07073   116.15800   35.631113   77.050381   -0.197    0.100  1
RGI60-14.15447   112.44704   32.165994   77.693785   -0.474    0.088  1
RGI60-14.06625   108.09621   35.822632   76.644663   -0.042    0.106  1
RGI60-14.00032   104.95219   36.081318   74.861777   -0.025    0.088  1
RGI60-14.03893    97.67309   36.366821   75.210817   -0.061    0.103  1
RGI60-14.07098    97.11959   35.580351   77.189852   -0.255    0.104  1
RGI60-14.06487    93.82366   35.939674   76.475159   -0.071    0.109  1
RGI60-14.02653    91.08873   36.497930   74.424835    0.071    0.100  1
RGI60-14.23787    90.12184   36.469894   71.910980   -0.137    0.081  1
RGI60-14.03017    87.92395   36.439351   74.509328    0.135    0.100  1
RGI60-14.08656    87.75190   34.730208   77.822813   -0.141    0.079  1
RGI60-14.05916    83.11644   35.506498   76.503187    0.052    0.106  1
RGI60-14.22569    82.12766   36.349044   71.820707   -0.117    0.080  1
RGI60-14.02192    81.64861   36.615478   74.222702    0.207    0.089  1
RGI60-14.06675    81.12409   35.734971   76.756767   -0.009    0.104  1
RGI60-14.15613    80.04529   32.472188   77.436004   -0.702    0.106  1
RGI60-14.04068    77.94039   36.284216   75.018591   -0.110    0.104  1
RGI60-14.17287    77.60932   33.151940   76.796855   -0.587    0.115  1
RGI60-14.01670    76.91907   36.697847   74.288036   -0.143    0.089  1
RGI60-14.05964    76.12892   35.663236   76.896501   -0.143    0.103  1
RGI60-14.07022    74.66993   35.705290   77.488071   -0.116    0.102  1
RGI60-14.04828    74.19749   35.865717   75.541317   -0.094    0.093  1
RGI60-14.03405    73.20364   36.346957   75.092863   -0.074    0.105  1
RGI60-14.07439    71.07952   35.506006   77.415386   -0.050    0.095  1
RGI60-14.04473    68.32939   36.117103   74.732590   -0.181    0.096  1
RGI60-14.18948    67.76968   33.741280   76.303693   -0.441    0.120  1
RGI60-14.07987    66.28647   35.117995   77.646484   -0.188    0.096  1
RGI60-14.09952    66.09854   35.621688   76.400158    0.060    0.102  1
RGI60-14.07571    65.80765   35.418520   76.778393   -0.037    0.107  1
RGI60-14.08081    63.50704   35.085721   77.547652   -0.141    0.092  1
RGI60-14.09682    62.35258   35.228029   77.565735   -0.544    0.105  1
RGI60-14.03123    62.14492   36.468018   74.713812   -0.172    0.107  1
RGI60-14.04777    59.75387   35.973691   75.491956   -0.080    0.103  1
RGI60-14.17999    58.12692   33.585737   76.428387   -0.296    0.120  1
RGI60-14.10672    57.55005   36.155098   76.180341   -0.204    0.100  1
RGI60-14.07195    56.23029   35.542165   76.210092   -0.017    0.092  1
RGI60-14.04452    56.03283   36.163328   74.595070   -0.130    0.103  1
RGI60-14.07131    55.32227   35.641854   77.468872   -0.090    0.102  1
RGI60-14.08184    53.97445   35.075552   77.032397   -0.322    0.115  1
RGI60-14.04945    50.91659   35.813087   74.962265    0.068    0.105  1
RGI60-14.23627    49.60447   36.703776   72.254672   -0.176    0.095  1
RGI60-14.18918    48.43107   33.695303   76.239887   -0.373    0.121  1
RGI60-14.26942    48.09246   30.992762   79.564224   -0.300    0.092  1
RGI60-14.08848    47.00936   34.575792   77.969003   -0.366    0.095  1
RGI60-14.16334    46.40080   34.010066   76.020009   -0.117    0.102  1
RGI60-14.05446    45.67657   36.436435   74.618519   -0.010    0.115  1
RGI60-14.18949    45.53234   33.646336   76.341773   -0.287    0.122  1
RGI60-14.01489    44.62878   36.752727   74.160915   -0.142    0.099  1
RGI60-14.09679    44.58664   35.171359   77.590486    0.076    0.100  1
RGI60-14.20157    44.08976   35.144850   74.477919   -0.442    0.111  1
RGI60-14.06425    43.70312   35.931202   77.150489   -0.101    0.104  1
RGI60-14.04610    42.96610   36.014792   75.243630    0.030    0.108  1
RGI60-14.22493    42.58925   36.606262   72.132037   -0.079    0.093  1
RGI60-14.17279    41.90501   33.243676   76.720275   -0.595    0.123  1
RGI60-14.17240    41.69859   33.763819   76.138858   -0.275    0.109  1
RGI60-14.06449    41.60727   35.963727   76.578405    0.045    0.114  1
RGI60-14.07119    41.52686   35.561803   77.307859   -0.233    0.111  1
RGI60-14.01964    41.08276   36.708401   74.405613   -0.187    0.098  1
RGI60-14.02794    41.05015   36.562537   75.712289    0.114    0.104  1
RGI60-14.18970    41.04525   33.514459   76.112931   -0.723    0.134  1
RGI60-14.01285    40.08504   36.735812   73.297968   -0.023    0.094  1
