Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-16.01251    14.53992  -13.939368  -70.843089   -0.797    0.125  1
RGI60-16.01053    14.35108  -13.745513  -71.006345   -0.381    0.112  1
RGI60-16.01286    11.42673  -13.760327  -71.131142   -0.681    0.130  1
RGI60-16.01359    11.36885    4.880102  -75.317807   -0.740    0.162  1
RGI60-16.00866    11.27749  -14.676787  -69.236003   -1.110    0.143  1
RGI60-16.00897    11.20530  -14.718053  -69.159982   -0.501    0.130  1
RGI60-16.02360    11.10580   -9.264575  -77.501247   -0.077    0.109  1
RGI60-16.00358    11.03732  -13.255615  -72.800315   -0.020    0.115  1
RGI60-16.00905    10.77878  -14.737672  -69.175560   -1.471    0.179  1
RGI60-16.02420    10.76313   -9.091217  -77.594830   -0.183    0.130  1
RGI60-16.00735    10.73166  -15.836693  -68.526349   -0.537    0.122  1
RGI60-16.01079    10.64380  -13.707013  -71.101691   -0.406    0.117  1
RGI60-16.01443    10.27616   -1.692849  -78.421915   -0.443    0.150  1
RGI60-16.01442     9.88068   -1.668499  -78.407655   -0.035    0.143  1
RGI60-16.02394     9.86403   -9.110972  -77.581980   -0.124    0.126  1
RGI60-16.02530     9.78164   -8.877862  -77.584803   -0.024    0.130  1
RGI60-16.00872     9.50512  -14.648207  -69.211259   -0.667    0.126  1
RGI60-16.01339     9.50329   -0.489511  -78.144634   -0.114    0.117  1
RGI60-16.00881     9.35903  -14.693427  -69.203304   -1.100    0.142  1
RGI60-16.01345     9.35356    0.012949  -77.993026   -0.365    0.122  1
RGI60-16.02944     9.32861   -0.687462  -78.428735   -0.174    0.135  1
RGI60-16.00759     9.16596  -15.857315  -68.559758   -0.295    0.118  1
RGI60-16.02265     9.02823   -9.403571  -77.328234   -0.372    0.122  1
RGI60-16.01074     8.90173  -13.802521  -70.949956   -0.207    0.114  1
RGI60-16.01875     8.82571  -10.251822  -76.914576   -0.264    0.121  1
RGI60-16.02273     8.77289   -9.298242  -77.328071   -0.224    0.123  1
RGI60-16.00987     8.47330  -13.787430  -71.255215   -0.566    0.136  1
RGI60-16.00427     8.40966  -13.162417  -72.360489   -0.213    0.165  1
RGI60-16.02264     8.36226   -9.519289  -77.320331   -0.222    0.127  1
RGI60-16.00289     8.00251  -13.334928  -72.555448   -0.277    0.142  1
RGI60-16.01272     7.94595  -13.747397  -71.119920   -0.557    0.130  1
RGI60-16.01337     7.94217   -0.482935  -78.125828   -0.071    0.126  1
RGI60-16.01252     7.82902  -13.902999  -70.825012   -0.309    0.121  1
RGI60-16.01264     7.80898  -13.733825  -71.146562   -0.726    0.155  1
RGI60-16.01052     7.79536  -13.732279  -71.043281   -0.761    0.144  1
RGI60-16.01084     7.71979  -13.686921  -71.079183   -0.727    0.142  1
RGI60-16.01317     7.66475   -1.466872  -78.827239   -0.184    0.126  1
RGI60-16.01022     7.49434  -13.748958  -71.069478   -0.523    0.122  1
RGI60-16.00936     7.46237  -14.621295  -69.378518   -0.797    0.147  1
RGI60-16.01473     7.37758  -15.536540  -72.643486   -0.680    0.127  1
RGI60-16.01077     7.29025  -13.760879  -71.042918   -0.475    0.120  1
RGI60-16.02184     7.03065   -9.355672  -77.381305   -0.225    0.131  1
RGI60-16.01059     7.01429  -13.751450  -70.900741   -0.403    0.128  1
RGI60-16.02411     6.80939   -9.121474  -77.623461   -0.204    0.120  1
RGI60-16.00799     6.72476  -14.901247  -69.113402   -1.141    0.151  1
RGI60-16.02207     6.61179   -9.484656  -77.331866   -0.688    0.139  1
RGI60-16.00986     6.45973  -13.805022  -71.239716   -0.084    0.120  1
RGI60-16.00410     6.44383  -13.196392  -72.794026   -0.578    0.140  1
RGI60-16.02263     6.28430   -9.381765  -77.369909   -0.320    0.129  1
RGI60-16.01909     6.22518  -10.291546  -76.905925   -0.129    0.130  1
RGI60-16.01159     6.15702  -14.074223  -70.784494   -0.236    0.130  1
RGI60-16.00984     6.14114  -13.792758  -71.212485   -0.167    0.125  1
RGI60-16.00793     6.03920  -15.012097  -69.055484   -1.007    0.156  1
RGI60-16.00417     5.98096  -13.167541  -72.323915   -0.158    0.245  1
RGI60-16.01344     5.95570    0.023930  -77.971473    0.175    0.132  1
RGI60-16.02444     5.95005   -8.962645  -77.627949   -0.502    0.151  1
RGI60-16.00645     5.94615  -15.994398  -68.388783   -0.367    0.122  1
RGI60-16.00726     5.93292  -15.875168  -68.537911   -0.205    0.122  1
RGI60-16.01078     5.78303  -13.734669  -71.089244   -0.801    0.140  1
RGI60-16.02195     5.75994   -9.374445  -77.342476   -0.355    0.135  1
RGI60-16.00721     5.74793  -15.865977  -68.520167   -0.238    0.122  1
RGI60-16.01146     5.67972  -13.519367  -71.180475   -0.516    0.154  1
RGI60-16.00850     5.65030  -16.972838  -67.355528   -0.812    0.144  1
RGI60-16.00363     5.52573  -13.273196  -72.808883   -0.333    0.123  1
RGI60-16.01483     5.48630  -15.547754  -72.620793   -0.666    0.131  1
RGI60-16.01394     5.45986   -1.765223  -78.469047    0.036    0.194  1
RGI60-16.02409     5.44313   -9.137845  -77.606604   -0.280    0.123  1
RGI60-16.02352     5.42605   -9.240357  -77.504772   -0.063    0.129  1
RGI60-16.00805     5.33099  -14.881312  -69.089635   -0.517    0.146  1
RGI60-16.01891     5.30548  -10.323864  -76.881459   -0.579    0.165  1
RGI60-16.00486     5.27874  -16.659667  -67.773155   -0.104    0.154  1
RGI60-16.02304     5.24175   -9.224629  -77.525384   -0.209    0.125  1
RGI60-16.02172     5.16950   -9.551198  -77.312912   -0.567    0.153  1
RGI60-16.01040     5.16648  -13.760179  -71.016026   -0.262    0.123  1
RGI60-16.00982     5.14986  -13.781550  -71.188878   -0.748    0.164  1
RGI60-16.01485     5.12783  -15.559749  -72.655118   -0.454    0.125  1
RGI60-16.00676     5.12071  -15.970955  -68.390073   -0.359    0.133  1
RGI60-16.01273     5.10751  -13.736654  -71.174316   -0.541    0.150  1
RGI60-16.02137     5.09469   -9.416480  -77.433902   -0.298    0.145  1
RGI60-16.00886     5.09363  -14.674436  -69.268837   -0.792    0.136  1
RGI60-16.00636     5.08972  -15.977767  -68.408495   -0.736    0.141  1
RGI60-16.01128     5.04155  -13.527467  -71.211120   -0.571    0.140  1
RGI60-16.00337     4.97701  -13.230598  -72.819371   -0.233    0.129  1
RGI60-16.01919     4.94503  -10.276691  -76.892511   -0.065    0.136  1
RGI60-16.02376     4.82307   -9.094188  -77.502863   -0.053    0.146  1
RGI60-16.02353     4.81706   -9.209288  -77.532588   -0.230    0.142  1
RGI60-16.02410     4.79369   -9.107907  -77.635172   -0.269    0.129  1
RGI60-16.02364     4.77454   -9.118253  -77.486602   -0.153    0.149  1
RGI60-16.00776     4.77410  -14.983993  -69.076956   -0.525    0.136  1
RGI60-16.00896     4.76143  -14.681352  -69.196215   -1.259    0.190  1
RGI60-16.00354     4.74008  -13.256596  -72.826093   -0.334    0.148  1
RGI60-16.00566     4.70128  -16.174696  -68.228780   -0.585    0.159  1
RGI60-16.01199     4.67881  -14.123163  -70.806255    0.034    0.128  1
RGI60-16.01311     4.66785   -1.464826  -78.801928   -0.719    0.165  1
RGI60-16.00361     4.62013  -13.286592  -72.791247   -0.202    0.128  1
RGI60-16.00912     4.59521  -14.644204  -69.236504   -0.675    0.143  1
RGI60-16.01349     4.58845    2.920648  -76.023041   -0.103    0.906  1
RGI60-16.01021     4.56266  -13.723527  -71.065740   -0.262    0.134  1
RGI60-16.02480     4.52472   -9.041918  -77.668975   -0.061    0.127  1
RGI60-16.02539     4.50209   -8.878730  -77.661714   -0.155    0.148  1
RGI60-16.02457     4.47897   -8.986335  -77.625831   -0.248    0.197  1
RGI60-16.01282     4.45471  -13.761575  -71.094430   -0.497    0.133  1
RGI60-16.01132     4.43178  -13.509677  -71.232975   -0.518    0.146  1
RGI60-16.01336     4.41835   -0.660566  -78.716802   -0.009    0.145  1
RGI60-16.01845     4.39296  -10.453142  -76.785110   -0.341    0.159  1
RGI60-16.00729     4.37864  -15.807498  -68.521605   -0.514    0.139  1
RGI60-16.01259     4.35640  -13.854546  -70.847382   -0.293    0.127  1
RGI60-16.00816     4.35227  -14.900438  -69.090277   -0.322    0.143  1
RGI60-16.02382     4.33605   -9.084470  -77.490644   -0.080    0.141  1
RGI60-16.00794     4.33515  -14.975463  -69.103397   -0.554    0.144  1
RGI60-16.02433     4.29771   -9.028943  -77.646098   -0.197    0.142  1
RGI60-16.00433     4.28868  -13.008202  -72.187555   -0.390    0.169  1
RGI60-16.01274     4.28452  -13.718304  -71.168113   -0.637    0.221  1
RGI60-16.02262     4.23435   -9.386320  -77.314446   -0.171    0.137  1
RGI60-16.02561     4.23272   -8.882662  -77.612872   -0.224    0.224  1
RGI60-16.00678     4.22735  -15.997447  -68.370737   -0.514    0.143  1
RGI60-16.00891     4.19444  -14.773229  -69.176465   -0.532    0.140  1
RGI60-16.00428     4.16226  -13.172630  -72.400489   -0.095    0.329  1
RGI60-16.00787     4.12957  -15.021238  -69.013477   -0.815    0.164  1
RGI60-16.00784     4.12548  -15.012084  -69.019921   -0.451    0.140  1
RGI60-16.01486     4.11041  -15.527988  -72.662759   -0.408    0.128  1
RGI60-16.01253     4.10153  -13.887760  -70.815044   -0.325    0.138  1
RGI60-16.02474     4.07913   -8.980715  -77.609845   -0.237    0.202  1
RGI60-16.01243     4.06292  -13.899499  -70.802231   -0.169    0.136  1
RGI60-16.02322     4.05406   -9.192289  -77.519052   -0.209    0.178  1
RGI60-16.00685     4.05209  -16.036737  -68.350127   -0.842    0.150  1
RGI60-16.00500     4.03651  -16.517581  -67.806239   -0.442    0.176  1
RGI60-16.01046     3.98019  -13.770910  -70.969944   -0.239    0.131  1
RGI60-16.01057     3.95369  -13.795554  -70.936747   -0.391    0.134  1
RGI60-16.00476     3.94703  -16.644727  -67.795505   -0.190    0.142  1
RGI60-16.00895     3.93467  -14.626781  -69.211188   -0.729    0.164  1
RGI60-16.01147     3.92962  -13.525572  -71.176363   -0.436    0.145  1
RGI60-16.00733     3.92370  -15.838064  -68.546443   -0.219    0.131  1
RGI60-16.00256     3.91927  -13.378603  -72.724054   -0.255    0.130  1
RGI60-16.00734     3.90665  -15.804080  -68.538824   -0.202    0.180  1
RGI60-16.00815     3.88127  -14.871945  -69.093587   -0.407    0.149  1
RGI60-16.00368     3.86193  -13.217321  -72.847397   -0.444    0.142  1
RGI60-16.01196     3.85458  -13.727384  -70.742436   -1.116    0.192  1
RGI60-16.01249     3.82443  -13.940971  -70.817119   -0.214    0.137  1
RGI60-16.01383     3.82107    6.504883  -72.308843   -0.398    0.141  1
RGI60-16.02553     3.81223   -8.858994  -77.603881    0.035    0.329  1
RGI60-16.01355     3.80880    4.805063  -75.371510   -1.644    0.283  1
RGI60-16.01063     3.79430  -13.777453  -70.868248   -0.356    0.135  1
RGI60-16.01228     3.78803  -13.896506  -70.425927   -0.516    0.149  1
RGI60-16.01224     3.72479  -13.900528  -70.406354   -0.820    0.178  1
RGI60-16.01487     3.72340  -15.564100  -72.636963   -0.382    0.128  1
RGI60-16.00935     3.62179  -14.606363  -69.365508   -0.715    0.165  1
RGI60-16.02518     3.59269   -8.882269  -77.716184   -0.215    0.146  1
RGI60-16.00657     3.57757  -16.078954  -68.352371   -0.398    0.139  1
RGI60-16.02239     3.54441   -9.338092  -77.410869   -0.421    0.140  1
RGI60-16.00285     3.50001  -13.307402  -72.580487   -0.015    0.389  1
RGI60-16.02356     3.48462   -9.243752  -77.485561   -0.009    0.144  1
RGI60-16.01016     3.47119  -13.788064  -70.882951   -0.242    0.128  1
RGI60-16.02355     3.44615   -9.273953  -77.444153   -0.249    0.206  1
RGI60-16.00274     3.44102  -13.357592  -72.825103   -0.556    0.153  1
RGI60-16.02391     3.43592   -9.103215  -77.478594   -0.071    0.180  1
RGI60-16.02497     3.40256   -8.903500  -77.691248   -0.212    0.170  1
RGI60-16.00670     3.37559  -15.934260  -68.426605   -1.032    0.163  1
RGI60-16.00485     3.35725  -16.646749  -67.765196   -0.008    0.289  1
RGI60-16.01015     3.35173  -13.789549  -70.857685   -0.469    0.138  1
RGI60-16.00788     3.33836  -14.992304  -68.981447   -0.655    0.163  1
RGI60-16.02145     3.33352   -9.416157  -77.462838   -0.241    0.127  1
RGI60-16.00906     3.32826  -14.721770  -69.237323   -0.628    0.162  1
