Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-03.01710  3082.75809   78.049408  -79.615353   -0.195    0.049  1
RGI60-03.02467  2620.76499   75.057659  -81.512226   -0.186    0.071  1
RGI60-03.02489  2169.06195   75.127298  -83.194622   -0.203    0.076  1
RGI60-03.01678  1890.60513   77.645309  -79.223579   -0.256    0.048  1
RGI60-03.01466  1779.16822   74.935123  -85.199559   -0.519    0.074  1
RGI60-03.01517  1739.95823   76.823706  -79.799875   -0.211    0.042  1
RGI60-03.02668  1733.12361   82.157146  -75.568086   -0.137    0.048  1
RGI60-03.00123  1593.23830   80.354741  -76.529935   -0.160    0.062  1
RGI60-03.01738  1529.22975   78.478721  -78.151472   -0.051    0.058  1
RGI60-03.01708  1433.36362   78.397429  -80.707241   -0.016    0.054  1
RGI60-03.02904  1383.48464   82.397448  -72.467395   -0.180    0.049  1
RGI60-03.03274  1213.90960   81.417308  -82.943894   -0.312    0.045  1
RGI60-03.02442  1133.54094   75.527918  -81.764696   -0.214    0.081  1
RGI60-03.00300  1091.72850   80.453573  -73.578691   -0.147    0.054  1
RGI60-03.00237  1086.61473   79.985974  -75.884072   -0.185    0.054  1
RGI60-03.02849  1077.51168   82.322837  -78.750819   -0.182    0.060  1
RGI60-03.02828  1071.84613   81.978416  -73.496419   -0.208    0.054  1
RGI60-03.00832  1055.40918   79.707194  -91.934678   -0.311    0.057  1
RGI60-03.02440  1045.80806   75.388686  -84.105389   -0.273    0.065  1
RGI60-03.00113   999.63865   80.537253  -75.358764   -0.158    0.058  1
RGI60-03.00183   940.41731   79.943466  -78.482596   -0.183    0.076  1
RGI60-03.02687   874.62632   81.935771  -77.840978   -0.113    0.041  1
RGI60-03.01632   788.87062   78.655806  -79.452145   -0.080    0.064  1
RGI60-03.03389   773.94652   81.662248  -80.317094   -0.158    0.048  1
RGI60-03.00191   769.63587   79.893382  -76.963058   -0.258    0.066  1
RGI60-03.02435   764.85156   75.497811  -83.161992   -0.204    0.081  1
RGI60-03.02782   762.74704   81.800525  -76.298953   -0.208    0.045  1
RGI60-03.01714   737.86770   78.250411  -77.666461   -0.277    0.066  1
RGI60-03.00994   730.45083   78.714995  -91.078605   -0.552    0.080  1
RGI60-03.04487   705.18271   81.657246  -78.638907   -0.181    0.047  1
RGI60-03.00251   689.63174   80.090533  -74.797933   -0.147    0.061  1
RGI60-03.00283   668.44671   80.202913  -73.914881   -0.146    0.060  1
RGI60-03.02429   663.39356   75.570808  -82.447113   -0.336    0.087  1
RGI60-03.02836   660.16115   82.135331  -78.713096   -0.117    0.052  1
