Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-19.01721  6000.63174  -74.043672 -121.227482   -0.694    0.089  1
RGI60-19.00423  5257.06211  -72.286810  -99.161926   -0.102    0.068  1
RGI60-19.00124  4763.00628  -72.447396  -70.893141   -0.027    0.073  1
RGI60-19.00134  3978.10077  -71.248207  -71.468590   -0.278    0.073  1
RGI60-19.00156  3530.90544  -71.851177  -69.849710   -0.092    0.070  1
RGI60-19.00746  3433.72178  -70.860120  -75.010995   -0.303    0.093  1
RGI60-19.00766  3309.59750  -72.692944  -78.365816   -0.294    0.079  1
RGI60-19.00554  3264.09838  -73.195015  -75.108195   -0.533    0.087  1
RGI60-19.00417  2936.33863  -73.568956 -126.234881    0.336    0.075  1
RGI60-19.00140  2655.64193  -71.860017  -74.542938   -0.068    0.087  1
RGI60-19.00029  2547.89785  -67.189730  -68.503597   -1.131    0.124  1
RGI60-19.00418  2412.75405  -74.041123 -124.651700   -0.327    0.077  1
RGI60-19.00169  2385.11114  -71.191791  -69.620899    0.037    0.075  1
RGI60-19.00119  2249.75481  -69.842738  -70.985634    0.104    0.066  1
RGI60-19.00103  2143.84545  -69.118575  -71.315690    0.119    0.070  1
RGI60-19.00115  2139.06834  -70.012707  -70.075866    0.155    0.061  1
RGI60-19.00118  1965.05126  -70.611765  -70.525851   -0.021    0.071  1
RGI60-19.00707  1929.22965  -64.175507  -57.798346   -0.235    0.063  1
RGI60-19.00748  1868.11602  -69.961211  -75.129336   -0.460    0.095  1
RGI60-19.01294  1605.48050  -72.818071  -91.212614   -0.275    0.087  1
RGI60-19.00136  1518.42324  -71.668087  -71.609619   -0.135    0.088  1
RGI60-19.00574  1480.83821  -74.068012  -20.875953    0.073    0.084  1
RGI60-19.00573  1471.79095  -63.271091  -55.818223    0.260    0.091  1
RGI60-19.00113  1329.66145  -69.497608  -70.272761   -0.077    0.072  1
RGI60-19.00160  1290.70271  -71.714069  -70.666696   -0.103    0.078  1
RGI60-19.00512  1250.39180  -70.879129   -2.753878    0.182    0.081  1
RGI60-19.00101  1247.49313  -68.997583  -70.485985   -0.057    0.081  1
RGI60-19.01406  1225.19746  -65.549906  100.759775   -0.041    0.091  1
RGI60-19.00421  1210.95734  -72.031071  -96.800413   -0.128    0.092  1
RGI60-19.00425  1154.06947  -71.988809  -98.543844   -0.098    0.076  1
RGI60-19.00768  1134.18236  -72.653988  -99.779205   -0.135    0.078  1
RGI60-19.00432  1080.23819  -70.282797   26.381178    0.462    0.089  1
RGI60-19.00139  1080.07980  -71.593177  -73.872547    0.023    0.091  1
RGI60-19.00135  1057.24197  -72.134950  -71.161616   -0.457    0.099  1
RGI60-19.00737  1008.87046  -69.405268  -62.143654   -0.119    0.083  1
RGI60-19.00138  1001.20288  -71.732001  -72.894387   -0.150    0.085  1
RGI60-19.00212   984.04674  -64.603474  -63.826133   -0.587    0.114  1
RGI60-19.00567   916.83497  -69.843770   16.030128    0.073    0.097  1
RGI60-19.00112   799.34546  -70.446969  -69.552637    0.013    0.084  1
RGI60-19.00168   792.37637  -70.685045  -69.686723   -0.096    0.089  1
RGI60-19.00137   777.63956  -71.421330  -72.962087   -0.321    0.096  1
RGI60-19.00109   759.38383  -71.598194  -68.983739    0.013    0.097  1
RGI60-19.00774   708.19120  -74.055854 -116.835596   -0.167    0.103  1
RGI60-19.01415   708.08624  -74.467009 -131.562199   -0.430    0.088  1
RGI60-19.00562   697.49447  -74.477104 -127.644999   -0.194    0.103  1
RGI60-19.01249   688.48851  -69.561696  -72.552464    0.211    0.092  1
RGI60-19.00151   683.16120  -70.960600  -68.774917   -0.040    0.086  1
RGI60-19.00791   659.22718  -70.423513   -3.050646    0.073    0.101  1
RGI60-19.01420   650.29877  -77.015091 -150.013857    0.162    0.091  1
RGI60-19.00121   647.14344  -69.374452  -71.440706    0.097    0.088  1
RGI60-19.00133   639.47422  -69.922206  -71.597357    0.008    0.092  1
RGI60-19.00102   630.30313  -71.408990  -68.740656    0.059    0.102  1
RGI60-19.01298   621.17437  -66.145722   96.598867    0.035    0.126  1
RGI60-19.00172   574.84731  -71.903889  -68.722993   -0.049    0.086  1
RGI60-19.01251   553.84987  -70.475742   71.890489    0.086    0.113  1
RGI60-19.00142   547.25023  -69.557573  -69.691468   -0.138    0.079  1
RGI60-19.00166   546.57787  -70.353788  -69.034642    0.155    0.089  1
RGI60-19.00558   528.91757  -72.963001  -89.918925   -0.081    0.085  1
RGI60-19.00424   515.43333  -72.086925  -97.623874   -0.044    0.090  1
